Dataset Name,Class vs Class,Classifier Name,Classifier Variables,Local F1 Score,Separability,Strategy,Amount within,Total test amount,F1 Score method
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,301,1254,0.8454859948666442
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,40,1254,0.7132616487455198
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,572,1254,0.6855658529409487
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,616,1254,0.6565905080466443
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,290,1254,0.781880341880342
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,36,1254,0.8319327731092439
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,538,1254,0.5185048697025534
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,647,1254,0.690903653782334
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,292,1254,0.7322855271774722
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,696,1254,0.755529203380417
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,2,1254,0.3333333333333333
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,9,1254,1.0
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,414,1254,0.7328840777116639
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,604,1254,0.72366253888855
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,231,1254,0.8777777777777778
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,613,1254,0.7395636691734593
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,259,1254,0.7858665854401462
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,454,1254,0.6469200032181072
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,40,1254,0.8132586367880486
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,595,1254,0.7186274509803922
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,258,1254,0.6870691950418601
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,14,1254,0.41666666666666663
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,436,1254,0.6256049960967993
