Dataset Name,Class vs Class,Classifier Name,Classifier Variables,Local F1 Score,Separability,Strategy,Amount within,Total test amount,F1 Score method
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,92,412,0.9586144849302743
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,61,412,0.6502866502866503
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,7,412,0.7878787878787878
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,17,412,0.9377289377289377
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,54,412,0.4807692307692307
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,37,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,88,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,19,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,65,412,0.8916666666666666
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,17,412,0.9377289377289377
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,7,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,73,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,32,412,0.4838709677419355
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,38,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,21,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,94,412,0.9586813186813186
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,86,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,32,412,0.7333333333333333
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,90,412,0.9199999999999999
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,39,412,0.48000000000000004
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,76,412,0.9579413392363032
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,66,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,57,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,57,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,49,412,0.9388264669163546
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,64,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,36,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,28,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,95,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,49,412,0.6838709677419355
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,124,412,0.9792190380425674
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,63,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,43,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,76,412,0.9723736822973463
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,14,412,0.4814814814814815
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,77,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,56,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,16,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,47,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,74,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,18,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,87,412,0.9749496112870717
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,51,412,0.9802707930367505
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,90,412,0.967520750631541
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,121,412,0.9824561403508771
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,150,412,0.9796499796499796
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,94,412,0.9731964642144283
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,36,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,76,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,73,412,0.6523809523809524
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,81,412,0.9746637472630592
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,125,412,0.9715197083618137
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,48,412,0.7433155080213903
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,55,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,28,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,17,412,0.7166666666666667
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,73,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,77,412,0.9724310776942355
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,93,412,0.9516883116883117
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,96,412,0.9784511784511785
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,45,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,13,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,87,412,0.7669642857142858
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,90,412,0.967520750631541
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,101,412,0.7351398601398601
