Dataset Name,Class vs Class,Classifier Name,Classifier Variables,Local F1 Score,Separability,Strategy,Amount within,Total test amount,F1 Score method
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,12,171,0.8285714285714286
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,7,171,0.4615384615384615
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,95,171,0.788888888888889
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,91,171,0.8548644338118021
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,14,171,0.8133333333333334
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,107,171,0.840250821140639
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,4,171,1.0
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,40,171,0.7651663405088063
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,91,171,0.7928994082840237
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,101,171,0.9232522796352584
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,104,171,0.7567251461988305
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,105,171,0.8894736842105264
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,7,171,1.0
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,88,171,0.8939759036144579
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,16,171,0.4838709677419355
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,94,171,0.8156862745098039
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,15,171,0.8148148148148149
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,66,171,0.8669354838709677
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,42,171,0.9142857142857143
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,11,171,0.8705882352941177
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,109,171,0.855858238561227
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,6,171,0.45454545454545453
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,109,171,0.8183333333333334
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,64,171,0.9787163285666778
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,9,171,0.6785714285714286
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,60,171,0.8705966930265996
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,25,171,0.6666666666666666
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,46,171,0.8917647058823529
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,82,171,0.9512774806892454
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,20,171,1.0
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,20,171,0.8857142857142857
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,93,171,0.9316176470588236
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,13,171,1.0
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,86,171,0.8751814223512336
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,93,171,0.9227574750830565
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,65,171,0.7336065573770492
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,108,171,0.8557306973016297
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,79,171,0.7904509283819628
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,89,171,0.8755244755244755
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,5,171,1.0
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,104,171,0.856022150438394
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,67,171,0.9080091533180779
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,69,171,0.9361111111111111
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,39,171,0.8194444444444444
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,27,171,0.888888888888889
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,110,171,0.9127676447264076
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,80,171,0.868421052631579
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,109,171,0.8943184021718054
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,11,171,0.45
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,105,171,0.9122073578595318
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,45,171,0.9225473321858864
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,90,171,0.9585444495624136
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,61,171,0.8696581196581197
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,10,171,1.0
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,97,171,0.9230158730158731
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,86,171,0.7667269439421338
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,57,171,0.9565879664889565
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,116,171,0.8620689655172413
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,11,171,0.47619047619047616
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,5,171,0.7619047619047619
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,42,171,0.8285714285714285
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,39,171,0.8761904761904762
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,18,171,0.4857142857142857
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,95,171,0.8552564753682073
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,25,171,0.875
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,100,171,0.8226950354609929
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,56,171,0.9270833333333334
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,109,171,0.8943184021718054
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,100,171,0.8641304347826086
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,99,171,0.774780630484238
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,13,171,0.8452380952380951
