Dataset name,Classifier name,Strategy,f1_score,std,class_of_z,radius,amount in radius
Iris,lr,Leafage: closest enemy,0.97,0.14,1.0,0.05,1.33
Iris,lr,Leafage: closest enemy,0.97,0.14,1.0,0.1,2.29
Iris,lr,Leafage: closest enemy,0.95,0.14,0.98,0.15,4.06
Iris,lr,Leafage: closest enemy,0.94,0.14,0.96,0.2,6.08
Iris,lr,Leafage: closest enemy,0.93,0.12,0.93,0.25,8.67
Iris,lr,Leafage: closest enemy,0.92,0.12,0.91,0.3,11.41
Iris,lr,Leafage: closest enemy,0.92,0.09,0.89,0.35,14.27
Iris,lr,Leafage: closest enemy,0.93,0.09,0.87,0.4,16.67
Iris,lr,Leafage: closest enemy,0.9,0.09,0.85,0.45,19.21
Iris,lr,Leafage: closest enemy,0.89,0.09,0.83,0.5,21.39
Iris,lr,Leafage: closest enemy,0.88,0.09,0.82,0.55,23.7
Iris,lr,Leafage: closest enemy,0.86,0.1,0.79,0.6,26.37
Iris,lr,Leafage: closest enemy,0.86,0.1,0.77,0.65,28.9
Iris,lr,Leafage: closest enemy,0.86,0.1,0.75,0.7,31.02
Iris,lr,Leafage: closest enemy,0.86,0.08,0.74,0.75,33.26
Iris,lr,Leafage: closest enemy,0.87,0.07,0.72,0.8,35.84
Iris,lr,Leafage: closest enemy,0.88,0.07,0.7,0.85,38.54
Iris,lr,Leafage: closest enemy,0.88,0.07,0.67,0.9,40.68
Iris,lr,Leafage: closest enemy,0.89,0.06,0.65,0.95,42.5
Iris,lr,Leafage: closest enemy,0.89,0.06,0.63,1.0,45.0
Iris,lr,Leafage: closest enemy,0.82,0.11,0.46,-1,20.11
Iris,lr,Leafage: closest boundary,0.98,0.12,1.0,0.05,1.33
Iris,lr,Leafage: closest boundary,0.98,0.12,1.0,0.1,2.29
Iris,lr,Leafage: closest boundary,0.97,0.11,0.98,0.15,4.06
Iris,lr,Leafage: closest boundary,0.96,0.12,0.96,0.2,6.08
