Dataset name,Classifier name,Strategy,f1_score,std,class_of_z,radius,amount in radius
Wine,lr,Leafage: closest enemy,0.95,0.19,1.0,0.05,1.0
Wine,lr,Leafage: closest enemy,0.95,0.19,1.0,0.1,1.0
Wine,lr,Leafage: closest enemy,0.95,0.19,1.0,0.15,1.0
Wine,lr,Leafage: closest enemy,0.95,0.19,1.0,0.2,1.09
Wine,lr,Leafage: closest enemy,0.95,0.19,0.99,0.25,1.34
Wine,lr,Leafage: closest enemy,0.95,0.19,0.99,0.3,1.98
Wine,lr,Leafage: closest enemy,0.94,0.19,0.97,0.35,3.1
Wine,lr,Leafage: closest enemy,0.91,0.18,0.95,0.4,5.1
Wine,lr,Leafage: closest enemy,0.89,0.16,0.93,0.45,7.64
Wine,lr,Leafage: closest enemy,0.88,0.16,0.9,0.5,11.07
Wine,lr,Leafage: closest enemy,0.88,0.16,0.89,0.55,14.71
Wine,lr,Leafage: closest enemy,0.89,0.13,0.84,0.6,19.08
Wine,lr,Leafage: closest enemy,0.9,0.1,0.79,0.65,24.21
Wine,lr,Leafage: closest enemy,0.92,0.07,0.74,0.7,29.6
Wine,lr,Leafage: closest enemy,0.93,0.04,0.69,0.75,35.61
Wine,lr,Leafage: closest enemy,0.94,0.03,0.65,0.8,40.93
Wine,lr,Leafage: closest enemy,0.94,0.03,0.61,0.85,45.67
Wine,lr,Leafage: closest enemy,0.93,0.03,0.59,0.9,49.41
Wine,lr,Leafage: closest enemy,0.93,0.03,0.58,0.95,51.73
Wine,lr,Leafage: closest enemy,0.93,0.03,0.57,1.0,54.0
Wine,lr,Leafage: closest enemy,0.84,0.19,0.45,-1,17.75
Wine,lr,Leafage: closest boundary,0.96,0.15,1.0,0.05,1.0
Wine,lr,Leafage: closest boundary,0.96,0.15,1.0,0.1,1.0
Wine,lr,Leafage: closest boundary,0.96,0.15,1.0,0.15,1.0
Wine,lr,Leafage: closest boundary,0.96,0.15,1.0,0.2,1.09
Wine,lr,Leafage: closest boundary,0.95,0.15,0.99,0.25,1.34
Wine,lr,Leafage: closest boundary,0.95,0.14,0.99,0.3,1.98
Wine,lr,Leafage: closest boundary,0.94,0.15,0.97,0.35,3.1
Wine,lr,Leafage: closest boundary,0.91,0.16,0.95,0.4,5.1
