Dataset Name,Class vs Class,Classifier Name,Classifier Variables,Local F1 Score,Separability,Strategy,Amount within,Total test amount,F1 Score method
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,301,1254,0.8562649226616839
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,40,1254,0.9472990777338604
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,572,1254,0.8666044776119404
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,616,1254,0.8799760191846523
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,290,1254,0.8878143133462282
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,36,1254,0.8319327731092439
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,538,1254,0.767495231282785
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,647,1254,0.8888159847526207
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,292,1254,0.869530847224609
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,696,1254,0.8670180359132056
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,2,1254,0.3333333333333333
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,9,1254,0.8831168831168831
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,414,1254,0.8618925831202047
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,604,1254,0.8656994357819839
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,231,1254,0.95202129869149
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,613,1254,0.8689463498064632
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,259,1254,0.8808099401748735
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,454,1254,0.6324709772985635
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,40,1254,0.9540757749712974
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,595,1254,0.871869202226345
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,258,1254,0.8712516445129974
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,14,1254,0.6347826086956522
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,436,1254,0.8310404960279016
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,654,1254,0.4343711843711844
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,698,1254,0.8688132768311494
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,636,1254,0.8669670764431322
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,476,1254,0.8873106060606062
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,171,1254,0.7652711050102952
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,309,1254,0.8726473416678115
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,494,1254,0.7518613191646109
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,18,1254,1.0
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,588,1254,0.45091540404040403
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,663,1254,0.8671633091690648
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,214,1254,0.9318384507580584
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,54,1254,0.9073756432246998
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,562,1254,0.7711323036900616
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,613,1254,0.8633715851932171
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,668,1254,0.8837239909485741
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,619,1254,0.8581362122519833
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,481,1254,0.8425654613466335
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,29,1254,0.8791666666666667
Abalone,old vs young,lr,{},0.7743220255450662,1.0,Leafage: Closest Enemy,580,1254,0.879614529280949
