Dataset Name,Class vs Class,Classifier Name,Classifier Variables,Local F1 Score,Separability,Strategy,Amount within,Total test amount,F1 Score method
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,92,412,0.9586144849302743
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,61,412,0.8386243386243386
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,7,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,17,412,0.9377289377289377
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,54,412,0.6854368932038835
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,37,412,0.9211087420042643
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,88,412,0.9380717804363125
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,19,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,65,412,0.8916666666666666
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,17,412,0.9377289377289377
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,7,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,73,412,0.9407948094079481
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,32,412,0.825136612021858
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,38,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,21,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,94,412,0.9517205957883923
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,86,412,0.9340996168582376
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,32,412,0.8915254237288135
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,90,412,0.9577067669172932
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,39,412,0.7364864864864865
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,76,412,0.9509993552546744
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,66,412,0.966240409207161
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,57,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,57,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,49,412,0.9388264669163546
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,64,412,0.9244391971664698
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,36,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,28,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,95,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,49,412,0.822463768115942
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,124,412,0.957033957033957
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,63,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,43,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,76,412,0.9723736822973463
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,14,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,77,412,0.8930555555555556
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,56,412,0.8653846153846153
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,16,412,0.4838709677419355
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,47,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,74,412,0.8526874585268746
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,18,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,87,412,0.9479665071770335
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,51,412,0.9200626959247649
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,90,412,0.911735861392612
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,121,412,0.8624478969306556
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,150,412,0.938949938949939
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,94,412,0.9731964642144283
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,36,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,76,412,0.8848484848484848
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,73,412,0.6523809523809524
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,81,412,0.9474025974025975
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,125,412,0.9332264957264957
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,48,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,55,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,28,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,17,412,0.8172043010752688
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,73,412,0.8926470588235295
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,77,412,0.9724310776942355
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,93,412,0.9416195856873824
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,96,412,0.9784511784511785
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,45,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,13,412,0.48000000000000004
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,87,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,90,412,0.9225473321858864
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,101,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,17,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,38,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,9,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,51,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,142,412,0.895613820142122
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,19,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,49,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,49,412,0.7393617021276595
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,52,412,0.9720880300590445
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,68,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,74,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,9,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,64,412,0.9244391971664698
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,68,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,82,412,0.9375951293759514
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,109,412,0.968100673105063
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,46,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,77,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,29,412,0.4727272727272727
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,29,412,0.4727272727272727
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,3,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,146,412,0.8668288233505624
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,47,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,96,412,0.9111111111111112
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,43,412,0.9596244131455398
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,20,412,0.48717948717948717
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,40,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,15,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,100,412,0.9053926206244087
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,100,412,0.9092723643621847
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,40,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,13,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,89,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,46,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,16,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,17,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,37,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,145,412,0.9590434045758403
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,49,412,1.0
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,70,412,0.9248120300751879
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,125,412,0.9606959438214022
BankNote,0 vs 1,lr,{},0.9950843534493043,1.0,Leafage: Closest Enemy,57,412,0.9052631578947369
