Dataset Name,Class vs Class,Classifier Name,Classifier Variables,Local F1 Score,Separability,Strategy,Amount within,Total test amount,F1 Score method
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,12,171,0.9111111111111112
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,7,171,0.4615384615384615
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,95,171,0.7587607922803452
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,91,171,0.7928994082840236
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,14,171,0.43999999999999995
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,107,171,0.8180272108843537
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,4,171,0.7333333333333334
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,40,171,0.7651663405088063
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,91,171,0.7883720930232558
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,101,171,0.864247311827957
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,104,171,0.8203799654576857
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,105,171,0.847678916827853
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,7,171,1.0
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,88,171,0.8211382113821137
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,16,171,0.4838709677419355
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,94,171,0.8188824662813101
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,15,171,0.8148148148148149
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,66,171,0.7737142857142858
BreastCancer,benign vs malignant,lr,{},0.9686870536531771,1.0,Leafage: Closest Enemy,42,171,0.9142857142857143
