Dataset Name,Class vs Class,Classifier Name,Classifier Variables,Local F1 Score,Separability,Strategy,Amount within,Total test amount,F1 Score method
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,14,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,13,54,0.8115942028985508
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,9,54,0.43750000000000006
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,3,54,0.4
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,11,54,0.47619047619047616
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,10,54,0.4736842105263158
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,7,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,16,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,2,54,0.3333333333333333
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,6,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,13,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,16,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,15,54,0.8800000000000001
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,10,54,0.4736842105263158
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,8,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,3,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,12,54,0.4782608695652174
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,4,54,0.7333333333333334
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,8,54,0.8545454545454545
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,15,54,0.4642857142857143
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,10,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,9,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,13,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,2,54,0.3333333333333333
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,6,54,0.4
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,8,54,0.4666666666666667
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,14,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,15,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,6,54,0.4000000000000001
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,9,54,0.47058823529411764
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,2,54,0.3333333333333333
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,7,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,9,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,4,54,0.42857142857142855
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,9,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,9,54,0.8
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,10,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,3,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,15,54,0.8800000000000001
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,15,54,0.8148148148148149
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,2,54,0.3333333333333333
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,3,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,16,54,0.8666666666666667
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,15,54,0.9333333333333333
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,6,54,0.7777777777777778
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,2,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,10,54,0.4736842105263158
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,7,54,0.7878787878787878
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,11,54,0.8070175438596492
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,5,54,0.7619047619047619
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,8,54,0.4666666666666667
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,13,54,0.48000000000000004
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,10,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Enemy,11,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,14,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,13,54,0.8115942028985508
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,9,54,0.6785714285714286
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,3,54,0.4
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,11,54,0.45
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,10,54,0.4444444444444444
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,7,54,0.7878787878787878
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,16,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,2,54,0.3333333333333333
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,6,54,0.7777777777777778
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,13,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,16,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,15,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,10,54,0.4444444444444444
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,8,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,3,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,12,54,0.45454545454545453
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,4,54,0.3333333333333333
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,8,54,0.8545454545454545
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,15,54,0.4444444444444445
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,10,54,1.0
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,9,54,0.8
Wine,class_1 vs rest,lr,{},0.9066067104808024,1.0,Leafage: Closest Boundary,13,54,0.8761904761904762
